"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"148",148,"START","","abEduflOnmisk","standard","RR",1,"male","opaque","2018-08-21 23:33:17","0000-00-00 00:00:00",0,"",0,0,0
"149",149,"END","00149avKdh","slbmfEdiOakun","standard","RR",1,"female","opaque","2018-08-22 13:23:58","2018-08-22 14:36:24",25,"f",5,2,5
"150",150,"END","00150nBUuo","bmsfudaElkOni","dialect","RR",0,"female","opaque","2018-08-22 15:45:28","2018-08-22 16:17:24",33,"f",5,4,5
"151",151,"END","00151nITql","nskfaidEmulOb","dialect","RR",0,"female","opaque","2018-08-22 16:30:00","2018-08-22 17:14:56",25,"m",5,5,1
"152",152,"END","00152Mhkty","mnEbsauildkOf","dialect","RR",0,"female","opaque","2018-08-22 16:34:50","2018-08-22 17:17:52",39,"m",5,1,5
"153",153,"END","00153PDMsH","nlaEuskOmibdf","dialect","RR",0,"female","opaque","2018-08-22 16:38:41","2018-08-22 17:26:11",31,"m",5,3,5
"154",154,"R_TR12","","safkiEnObuldm","dialect","RR",0,"female","opaque","2018-08-22 16:40:39","0000-00-00 00:00:00",20,"f",5,0,0
"155",155,"END","00155YAzFT","OfsbuaikEmldn","dialect","RR",0,"female","opaque","2018-08-22 16:42:04","2018-08-22 17:18:26",18,"m",5,3,5
"156",156,"END","00156kXNHi","andEuOlkfmbis","dialect","RR",0,"female","opaque","2018-08-22 16:43:11","2018-08-22 17:22:58",35,"f",5,5,5
"157",157,"R_TR21","","mbndEukilsafO","dialect","RR",0,"female","opaque","2018-08-22 16:48:18","0000-00-00 00:00:00",48,"m",5,0,0
"158",158,"END","00158YHgqG","uklEdiasbfmnO","dialect","RR",0,"female","opaque","2018-08-22 16:49:26","2018-08-22 17:40:50",22,"f",5,5,5
