participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
119,dialect,opaque,picture,RR,female,32,f,English,2,4,5,2018-08-20T14:25:45Z,2018-08-20T15:07:01Z,2476s (~41.27 minutes)
122,dialect,opaque,picture,RR,female,39,f,English,4,4,4,2018-08-20T15:09:43Z,2018-08-20T15:54:03Z,2660s (~44.33 minutes)
125,dialect,opaque,picture,RR,female,33,f,English,5,3,5,2018-08-20T18:05:52Z,2018-08-20T18:35:19Z,1767s (~29.45 minutes)
126,standard,opaque,picture,RR,female,24,f,English,1,4,5,2018-08-21T15:13:08Z,2018-08-21T15:48:19Z,2111s (~35.18 minutes)
127,standard,opaque,picture,RR,female,26,f,Spanish,1,5,3,2018-08-21T15:20:57Z,2018-08-21T15:48:58Z,1681s (~28.02 minutes)
127,standard,opaque,picture,RR,female,26,f,French,1,5,3,2018-08-21T15:20:57Z,2018-08-21T15:48:58Z,1681s (~28.02 minutes)
127,standard,opaque,picture,RR,female,26,f,English,5,5,3,2018-08-21T15:20:57Z,2018-08-21T15:48:58Z,1681s (~28.02 minutes)
128,standard,opaque,picture,RR,female,27,m,English,5,5,5,2018-08-21T15:33:59Z,2018-08-21T16:40:39Z,4000s (~1.11 hours)
130,standard,opaque,picture,RR,female,26,m,English,5,1,5,2018-08-21T15:37:15Z,2018-08-21T17:27:41Z,6626s (~1.84 hours)
131,standard,opaque,picture,RR,female,24,f,French,1,4,5,2018-08-21T15:37:58Z,2018-08-21T16:09:40Z,1902s (~31.7 minutes)
131,standard,opaque,picture,RR,female,24,f,English,5,4,5,2018-08-21T15:37:58Z,2018-08-21T16:09:40Z,1902s (~31.7 minutes)
132,standard,opaque,picture,RR,female,40,f,Spanish ,1,3,4,2018-08-21T15:38:16Z,2018-08-21T16:07:05Z,1729s (~28.82 minutes)
132,standard,opaque,picture,RR,female,40,f,English,5,3,4,2018-08-21T15:38:16Z,2018-08-21T16:07:05Z,1729s (~28.82 minutes)
133,standard,opaque,picture,RR,female,30,f,English,4,3,4,2018-08-21T15:46:35Z,2018-08-21T16:29:29Z,2574s (~42.9 minutes)
134,standard,opaque,picture,RR,female,41,m,French,1,4,5,2018-08-21T16:02:00Z,2018-08-21T16:35:22Z,2002s (~33.37 minutes)
134,standard,opaque,picture,RR,female,41,m,English,5,4,5,2018-08-21T16:02:00Z,2018-08-21T16:35:22Z,2002s (~33.37 minutes)
135,standard,opaque,picture,RR,female,34,f,Twi,4,4,4,2018-08-21T16:02:15Z,2018-08-21T17:02:00Z,3585s (~59.75 minutes)
135,standard,opaque,picture,RR,female,34,f,English,4,4,4,2018-08-21T16:02:15Z,2018-08-21T17:02:00Z,3585s (~59.75 minutes)
136,standard,opaque,picture,RR,female,46,f,French,1,5,5,2018-08-21T16:09:05Z,2018-08-21T17:00:18Z,3073s (~51.22 minutes)
136,standard,opaque,picture,RR,female,46,f,English,5,5,5,2018-08-21T16:09:05Z,2018-08-21T17:00:18Z,3073s (~51.22 minutes)
137,standard,opaque,picture,RR,female,25,m,English,5,4,5,2018-08-21T16:09:59Z,2018-08-21T17:02:34Z,3155s (~52.58 minutes)
141,standard,opaque,picture,RR,female,21,f,English,5,5,5,2018-08-21T17:24:23Z,2018-08-21T18:03:51Z,2368s (~39.47 minutes)
141,standard,opaque,picture,RR,female,21,f,Yoruba,2,5,5,2018-08-21T17:24:23Z,2018-08-21T18:03:51Z,2368s (~39.47 minutes)
141,standard,opaque,picture,RR,female,21,f,Spanish,2,5,5,2018-08-21T17:24:23Z,2018-08-21T18:03:51Z,2368s (~39.47 minutes)
145,standard,opaque,picture,RR,female,27,m,English,5,4,5,2018-08-21T17:53:30Z,2018-08-21T18:29:27Z,2157s (~35.95 minutes)
146,standard,opaque,picture,RR,female,39,f,Spanish,1,3,4,2018-08-21T18:17:21Z,2018-08-21T18:43:17Z,1556s (~25.93 minutes)
146,standard,opaque,picture,RR,female,39,f,English,5,3,4,2018-08-21T18:17:21Z,2018-08-21T18:43:17Z,1556s (~25.93 minutes)
146,standard,opaque,picture,RR,female,39,f,German,1,3,4,2018-08-21T18:17:21Z,2018-08-21T18:43:17Z,1556s (~25.93 minutes)
